"","cohort_id","concept_id","concept_name","concept_code","domain_id","vocabulary_id"
"1",19261,1553752,"Other persistent atrial fibrillation","I48.19","Condition","ICD10CM"
"2",19261,1569170,"Atrial fibrillation and flutter","I48","Condition","ICD10CM"
"3",19261,1569174,"Unspecified atrial fibrillation and atrial flutter","I48.9","Condition","ICD10CM"
"4",19261,313217,"Atrial fibrillation","49436004","Condition","SNOMED"
"5",19261,4068155,"Atrial arrhythmia","17366009","Condition","SNOMED"
"6",19261,4108832,"Atrial fibrillation and flutter","195080001","Condition","SNOMED"
"7",19261,4232697,"Persistent atrial fibrillation","440059007","Condition","SNOMED"
"8",19261,44821957,"Atrial fibrillation","427.31","Condition","ICD9CM"
"9",19261,44824248,"Atrial fibrillation and flutter","427.3","Condition","ICD9CM"
"10",19261,45576876,"Unspecified atrial fibrillation","I48.91","Condition","ICD10CM"
"11",19261,45596206,"Atrial fibrillation and flutter","I48","Condition","ICD10"
"12",19261,45755409,"Atrial fibrillation and atrial flutter, unspecified","I48.9","Condition","ICD10"
"13",19261,35207784,"Paroxysmal atrial fibrillation","I48.0","Condition","ICD10CM"
"14",19261,45581776,"Paroxysmal atrial fibrillation","I48.0","Condition","ICD10"
"15",19261,4154290,"Paroxysmal atrial fibrillation","282825002","Condition","SNOMED"
"16",19261,1553752,"Other persistent atrial fibrillation","I48.19","Condition","ICD10CM"
"17",19261,35207785,"Persistent atrial fibrillation","I48.1","Condition","ICD10CM"
"18",19261,4232697,"Persistent atrial fibrillation","440059007","Condition","SNOMED"
"19",19261,45548021,"Persistent atrial fibrillation","I48.1","Condition","ICD10"
"20",19261,1553751,"Longstanding persistent atrial fibrillation","I48.11","Condition","ICD10CM"
"21",19261,45768480,"Longstanding persistent atrial fibrillation","706923002","Condition","SNOMED"
"22",19261,1553751,"Longstanding persistent atrial fibrillation","I48.11","Condition","ICD10CM"
"23",19261,1553753,"Chronic atrial fibrillation, unspecified","I48.20","Condition","ICD10CM"
"24",19261,1553754,"Permanent atrial fibrillation","I48.21","Condition","ICD10CM"
"25",19261,1569171,"Chronic atrial fibrillation","I48.2","Condition","ICD10CM"
"26",19261,4141360,"Chronic atrial fibrillation","426749004","Condition","SNOMED"
"27",19261,4232691,"Permanent atrial fibrillation","440028005","Condition","SNOMED"
"28",19261,45591467,"Chronic atrial fibrillation","I48.2","Condition","ICD10"
"29",19261,45768480,"Longstanding persistent atrial fibrillation","706923002","Condition","SNOMED"
