"","cohort_id","concept_id","concept_name","concept_code","domain_id","vocabulary_id"
"1",20501,45557147,"Vascular dementia","F01","Condition","ICD10"
"2",20501,45557150,"Delirium superimposed on dementia","F05.1","Condition","ICD10"
"3",20501,45566772,"Unspecified dementia","F03","Condition","ICD10"
"4",20501,45771254,"CHMP2B-related frontotemporal dementia","702393003","Condition","SNOMED"
"5",20501,3654434,"Cortical vascular dementia","833326008","Condition","SNOMED"
"6",20501,4314734,"Dementia associated with Parkinson's Disease","425390006","Condition","SNOMED"
"7",20501,378726,"Dementia associated with alcoholism","281004","Condition","SNOMED"
"8",20501,44784607,"Dementia associated with cerebral anoxia","698781002","Condition","SNOMED"
"9",20501,44784472,"Dementia associated with cerebral lipidosis","698624003","Condition","SNOMED"
"10",20501,44784474,"Dementia associated with multiple sclerosis","698626001","Condition","SNOMED"
"11",20501,44784559,"Dementia associated with neurosyphilis","698725008","Condition","SNOMED"
"12",20501,44784473,"Dementia associated with normal pressure hydrocephalus","698625002","Condition","SNOMED"
"13",20501,44784560,"Dementia associated with viral encephalitis","698726009","Condition","SNOMED"
"14",20501,37116464,"Dementia caused by heavy metal exposure","733184002","Condition","SNOMED"
"15",20501,37162187,"Dementia caused by manganese","1186887004","Condition","SNOMED"
"16",20501,36717598,"Dementia caused by toxin","722978000","Condition","SNOMED"
"17",20501,37311999,"Dementia caused by volatile inhalant","788898005","Condition","SNOMED"
"18",20501,36716795,"Dementia co-occurrent and due to neurocysticercosis","722977005","Condition","SNOMED"
"19",20501,37017549,"Dementia co-occurrent with human immunodeficiency virus infection","713844000","Condition","SNOMED"
"20",20501,37166436,"Dementia due to Behcet syndrome","1259579003","Condition","SNOMED"
"21",20501,4180284,"Dementia due to Creutzfeldt Jakob disease","429458009","Condition","SNOMED"
"22",20501,40483103,"Dementia due to Huntington chorea","442344002","Condition","SNOMED"
"23",20501,44782422,"Dementia due to Parkinson's disease","101421000119107","Condition","SNOMED"
"24",20501,44782710,"Dementia due to Pick's disease","21921000119103","Condition","SNOMED"
"25",20501,43020422,"Dementia due to Rett's syndrome","130121000119104","Condition","SNOMED"
"26",20501,37166448,"Dementia due to acquired hypothyroidism","1259591007","Condition","SNOMED"
"27",20501,42538610,"Dementia due to and following injury of head","762351006","Condition","SNOMED"
"28",20501,3654920,"Dementia due to carbon monoxide poisoning","840464007","Condition","SNOMED"
"29",20501,37166438,"Dementia due to celiac disease","1259581001","Condition","SNOMED"
"30",20501,37166354,"Dementia due to cerebral amyloid angiopathy","1259488005","Condition","SNOMED"
"31",20501,37166351,"Dementia due to cerebral vasculitis","1259485008","Condition","SNOMED"
"32",20501,36716797,"Dementia due to chromosomal anomaly","722980006","Condition","SNOMED"
"33",20501,37116466,"Dementia due to chronic subdural hematoma","733191004","Condition","SNOMED"
"34",20501,606974,"Dementia due to deficiency of folic acid","1148924004","Condition","SNOMED"
"35",20501,37110513,"Dementia due to disorder of central nervous system","724776007","Condition","SNOMED"
"36",20501,37166343,"Dementia due to genetic disease","1259476008","Condition","SNOMED"
"37",20501,37166332,"Dementia due to hepatic failure","1259465009","Condition","SNOMED"
"38",20501,37116467,"Dementia due to herpes encephalitis","733192006","Condition","SNOMED"
"39",20501,37119154,"Dementia due to infectious disease","724777003","Condition","SNOMED"
"40",20501,3654921,"Dementia due to iron deficiency","840465008","Condition","SNOMED"
"41",20501,36716796,"Dementia due to metabolic abnormality","722979008","Condition","SNOMED"
"42",20501,44782559,"Dementia due to multiple sclerosis with altered behavior","82371000119101","Condition","SNOMED"
"43",20501,37162183,"Dementia due to nutritional deficiency","1186883000","Condition","SNOMED"
"44",20501,37311998,"Dementia due to pellagra","788899002","Condition","SNOMED"
"45",20501,37166515,"Dementia due to polyarteritis nodosa","1259663006","Condition","SNOMED"
"46",20501,37116465,"Dementia due to primary malignant neoplasm of brain","733190003","Condition","SNOMED"
"47",20501,42538609,"Dementia due to prion disease","762350007","Condition","SNOMED"
"48",20501,37166508,"Dementia due to renal failure","1259656006","Condition","SNOMED"
"49",20501,37166513,"Dementia due to rheumatological disease","1259661008","Condition","SNOMED"
"50",20501,37166380,"Dementia due to systemic lupus erythematosus","1259517005","Condition","SNOMED"
"51",20501,42535731,"Dementia following injury caused by exposure to ionizing radiation","733185001","Condition","SNOMED"
"52",20501,44782935,"Dementia in remission","698949001","Condition","SNOMED"
"53",20501,4235705,"Dementia management: bathing","406165004","Procedure","SNOMED"
"54",20501,441002,"Dementia of frontal lobe type","278857002","Condition","SNOMED"
"55",20501,43530664,"Dementia of the Alzheimer type with behavioral disturbance","1581000119101","Condition","SNOMED"
"56",20501,4307791,"Dementia paralytica juvenilis","82959004","Condition","SNOMED"
"57",20501,4228133,"Dementia with AIDS (acquired immunodeficiency syndrome)","421529006","Condition","SNOMED"
"58",20501,37116469,"Dementia with Down syndrome","733194007","Condition","SNOMED"
"59",20501,43530666,"Dementia with behavioral disturbance","1591000119103","Condition","SNOMED"
"60",20501,37116468,"Dementia with progressive multifocal leukoencephalopathy","733193001","Condition","SNOMED"
"61",20501,4244346,"Dialysis dementia","9345005","Condition","SNOMED"
"62",20501,37311665,"Disinhibited behavior due to dementia","789170003","Condition","SNOMED"
"63",20501,376095,"Drug-induced dementia","191493005","Condition","SNOMED"
"64",20501,37110677,"Epilepsy co-occurrent and due to dementia","724992007","Condition","SNOMED"
"65",20501,37018608,"Epileptic dementia with behavioral disturbance","82381000119103","Condition","SNOMED"
"66",20501,1340302,"Exacerbation of dementia","OMOP5165957","Condition","OMOP Extension"
"67",20501,4043378,"Frontotemporal dementia","230270009","Condition","SNOMED"
"68",20501,45765480,"Frontotemporal dementia with parkinsonism-17","702429008","Condition","SNOMED"
"69",20501,45765477,"GRN-related frontotemporal dementia","702426001","Condition","SNOMED"
"70",20501,37109222,"Hallucinations co-occurrent and due to late onset dementia","2421000119107","Condition","SNOMED"
"71",20501,45766396,"Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia","703544004","Condition","SNOMED"
"72",20501,4139421,"Inhalant-induced persisting dementia","32875003","Condition","SNOMED"
"73",20501,36717248,"Ischemic vascular dementia","723123001","Condition","SNOMED"
"74",20501,44782763,"Lewy body dementia with behavioral disturbance","135811000119107","Condition","SNOMED"
"75",20501,762497,"Mild dementia","428051000124108","Condition","SNOMED"
"76",20501,43021816,"Mixed dementia","79341000119107","Condition","SNOMED"
